표준키,키유형,TMS_견적코드,매칭방식,매칭신뢰도,검증상태,근거
Stationery페이퍼박스 [용산],굿즈명,STBX,유사,0.67,미검증,jaccard score=0.67 freq=1
Stationery페이퍼박스 [일반],굿즈명,STBX,유사,0.67,미검증,jaccard score=0.67 freq=2
Stationery페이퍼박스 키트,굿즈명,STBX,유사,0.67,미검증,jaccard score=0.67 freq=47
Stationery페이퍼박스 키트 (사내배포),굿즈명,STBX,유사,0.50,미검증,jaccard score=0.50 freq=1
Stationery페이퍼박스 키트 (영업배포),굿즈명,STBX,유사,0.50,미검증,jaccard score=0.50 freq=1
Stationery페이퍼박스 키트 150+여분,굿즈명,STBX,유사,0.50,미검증,jaccard score=0.50 freq=1
Stationery페이퍼박스 키트 50+여분,굿즈명,STBX,유사,0.50,미검증,jaccard score=0.50 freq=1
Stationery페이퍼박스 키트((볼펜제외) 키트,굿즈명,STBX,유사,0.50,미검증,jaccard score=0.50 freq=1
Stationery페이퍼박스 키트((볼펜포함) 키트,굿즈명,STBX,유사,0.50,미검증,jaccard score=0.50 freq=1
Stationery페이퍼박스 키트(볼펜제외),굿즈명,STBX,유사,0.50,미검증,jaccard score=0.50 freq=1
Stationery페이퍼박스 키트(캘린더미포함),굿즈명,STBX,유사,0.50,미검증,jaccard score=0.50 freq=1
Stationery페이퍼박스(볼펜포함) 키트,굿즈명,STBX,유사,0.50,미검증,jaccard score=0.50 freq=1
Stationery페이퍼박스(웰컴) 키트,굿즈명,STBX,유사,0.50,미검증,jaccard score=0.50 freq=1
Storage 펄프박스 키트,굿즈명,STPB,유사,0.67,미검증,jaccard score=0.67 freq=6
Storage펄프박스,굿즈명,STPB,정확,1.00,확정,jaccard score=1.00 freq=3
Storage펄프박스 리드300,굿즈명,STPB,유사,0.67,미검증,jaccard score=0.67 freq=1
Storage펄프박스 바디300,굿즈명,STPB,유사,0.67,미검증,jaccard score=0.67 freq=1
Storage펄프박스 키트,굿즈명,STPB,유사,0.67,미검증,jaccard score=0.67 freq=40
Storage펄프박스 키트20,굿즈명,STPB,유사,0.67,미검증,jaccard score=0.67 freq=1
Tailored 스트랩 박스 키트,굿즈명,TILD,유사,0.75,미검증,jaccard score=0.75 freq=8
Tailored 스트랩 박스 키트 (L ),굿즈명,TILD,유사,0.75,미검증,jaccard score=0.75 freq=1
Tailored 스트랩 박스 키트 (XL),굿즈명,TILD,유사,0.75,미검증,jaccard score=0.75 freq=1
Tailored스트랩박스,굿즈명,TILD,정확,1.00,확정,jaccard score=1.00 freq=12
Tailored스트랩박스(벌크),굿즈명,TILD,정확,1.00,확정,jaccard_norm score=1.00 freq=1
Tailored스트랩박스(조립),굿즈명,TILD,정확,1.00,확정,jaccard_norm score=1.00 freq=1
Two-way에코쇼핑백(L),굿즈명,TWOS,정확,1.00,확정,jaccard score=1.00 freq=4
Two-way에코쇼핑백(XL),굿즈명,TWOX,정확,1.00,확정,jaccard score=1.00 freq=5
USB 1),굿즈명,DUSB,유사,0.50,미검증,jaccard score=0.50 freq=1
USB1),굿즈명,DUSB,유사,0.50,미검증,jaccard score=0.50 freq=1
USb2),굿즈명,DUSB,유사,0.50,미검증,jaccard score=0.50 freq=1
UV(버티컬 무선충전패드),굿즈명,VWPD,유사,0.67,미검증,jaccard score=0.67 freq=2
UV(베케이션 여권케이스),굿즈명,VCIT,유사,0.67,미검증,jaccard score=0.67 freq=4
UV(아트워크 레더 다이어리),굿즈명,ATWK,유사,0.75,미검증,jaccard score=0.75 freq=1
UV(어텐션 스포츠 보틀_360),굿즈명,ATSS,유사,0.40,미검증,jaccard score=0.40 freq=3 ambiguous-name:ATSB|ATSS
UV(어텐션 스포츠 보틀_360) (1)1,굿즈명,ATSS,유사,0.40,미검증,jaccard score=0.40 freq=1 ambiguous-name:ATSB|ATSS
UV(어텐션 스포츠 보틀_360) (2),굿즈명,ATSS,유사,0.40,미검증,jaccard score=0.40 freq=1 ambiguous-name:ATSB|ATSS
UV(어텐션 스포츠 보틀_360) (2)1,굿즈명,ATSS,유사,0.40,미검증,jaccard score=0.40 freq=1 ambiguous-name:ATSB|ATSS
UV(킵세이프 마그넷 배터리_전면중앙),굿즈명,KSMB,유사,0.40,미검증,jaccard score=0.40 freq=2 ambiguous-name:KSMB|MGNB
UV(핸디링 미니 선풍기),굿즈명,HDRM,유사,0.75,미검증,jaccard score=0.75 freq=3
eco페이퍼박스 키트,굿즈명,ECPB,유사,0.50,미검증,jaccard score=0.50 freq=1
stationery페이퍼박스,굿즈명,STBX,정확,1.00,확정,jaccard score=1.00 freq=1
usb1,굿즈명,DUSB,유사,0.50,미검증,jaccard score=0.50 freq=2
가챠브랜드팝 클리어 키링,굿즈명,BCAK,유사,0.50,미검증,jaccard score=0.50 freq=1
가챠아임히어 리플렉터 키링,굿즈명,IMHE,유사,0.50,미검증,jaccard score=0.50 freq=1
고객인지이슈 핑거팬,굿즈명,FING,유사,0.50,미검증,jaccard score=0.50 freq=1
고체치약1,굿즈명,TUTH,유사,0.50,미검증,jaccard score=0.50 freq=3
고체치약1),굿즈명,TUTH,유사,0.50,미검증,jaccard score=0.50 freq=2
골프공,굿즈명,PSGB,유사,0.50,미검증,jaccard score=0.50 freq=7
골프공 6구,굿즈명,PSGB,유사,0.50,미검증,jaccard score=0.50 freq=1
골프공3),굿즈명,PSGB,유사,0.50,미검증,jaccard score=0.50 freq=1
굿데이 볼캡,굿즈명,GDEB,정확,1.00,확정,name2code score=1.00 freq=2
굿데이볼캡,굿즈명,GDEB,정확,1.00,확정,jaccard score=1.00 freq=24
굿스타트 슈즈백,굿즈명,GSSH,정확,1.00,확정,name2code score=1.00 freq=5
굿스타트슈즈백(단품),굿즈명,GSSH,정확,1.00,확정,jaccard score=1.00 freq=14
굿스타트슈즈백(키트),굿즈명,GSSK,정확,1.00,확정,jaccard score=1.00 freq=13
굿이너프 비치타월,굿즈명,BCTL,정확,1.00,확정,name2code score=1.00 freq=37
굿이너프 비치타월(인쇄+봉재),굿즈명,BCTL,정확,1.00,확정,name2code score=1.00 freq=20
굿이너프 비치타월(인쇄+봉재) (1),굿즈명,BCTL,정확,1.00,확정,name2code score=1.00 freq=5
굿이너프 비치타월(인쇄+봉재) (1)1,굿즈명,BCTL,유사,0.50,미검증,jaccard score=0.50 freq=1
굿이너프 비치타월(인쇄+봉재) (2),굿즈명,BCTL,정확,1.00,확정,name2code score=1.00 freq=5
굿이너프 비치타월(인쇄+봉재) (2)1,굿즈명,BCTL,유사,0.50,미검증,jaccard score=0.50 freq=3
굿이너프비치타월,굿즈명,BCTL,정확,1.00,확정,jaccard score=1.00 freq=86
굿이너프비치타월 + Solid스탠다드G형박스(M사이즈),굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=2 ambiguous-name:SCGB|SOLD
굿이너프비치타월(2022ver),굿즈명,BCTL,정확,1.00,확정,jaccard_norm score=1.00 freq=2
굿이너프비치타월(300개이하),굿즈명,BCTL,정확,1.00,확정,jaccard_norm score=1.00 freq=15
굿이너프비치타월(300개이하) + Solid스탠다드G형박스(M사이즈),굿즈명,SOLD,유사,0.43,미검증,jaccard score=0.43 freq=1 ambiguous-name:SCGB|SOLD
굿이너프비치타월(FastTrack),굿즈명,BCTL,정확,1.00,확정,jaccard_norm score=1.00 freq=22
굿즈박스4),굿즈명,AVBX,유사,0.50,미검증,jaccard score=0.50 freq=1
그래픽 에코백,굿즈명,GPEB,정확,1.00,확정,name2code score=1.00 freq=7
그래픽 에코백 키트,굿즈명,GPEB,유사,0.67,미검증,jaccard score=0.67 freq=1
그래픽배너 대용량 보조배터리,굿즈명,GBBT,정확,1.00,확정,name2code score=1.00 freq=2
그래픽배너대용량보조배터리,굿즈명,GBBT,정확,1.00,확정,jaccard score=1.00 freq=18
그래픽배너대용량보조배터리100,굿즈명,GBBT,정확,1.00,확정,jaccard score=1.00 freq=1
그래픽에코백,굿즈명,GPEB,정확,1.00,확정,jaccard score=1.00 freq=59
그래픽에코백 (단품),굿즈명,GPEB,정확,1.00,확정,jaccard_norm score=1.00 freq=1
그래픽에코백(인쇄+봉재),굿즈명,GPEB,정확,1.00,확정,jaccard_norm score=1.00 freq=1
그로우 북라이트,굿즈명,BMLT,정확,1.00,확정,name2code score=1.00 freq=2
그립잇,굿즈명,GRIT,정확,1.00,확정,jaccard score=1.00 freq=55
그립잇 2종,굿즈명,GRIT,정확,1.00,확정,jaccard score=1.00 freq=1
그립잇(배경지없음)200,굿즈명,GRIT,유사,0.50,미검증,jaccard score=0.50 freq=1
그립잇(인쇄+조립),굿즈명,GRIT,정확,1.00,확정,jaccard_norm score=1.00 freq=1
그립잇+인쇄,굿즈명,GRIT,유사,0.50,미검증,jaccard score=0.50 freq=7
그립잇1,굿즈명,GRIT,정확,1.00,확정,jaccard score=1.00 freq=3
그립잇1),굿즈명,GRIT,정확,1.00,확정,jaccard score=1.00 freq=1
그립잇100,굿즈명,GRIT,정확,1.00,확정,jaccard score=1.00 freq=1
그립잇300,굿즈명,GRIT,정확,1.00,확정,jaccard score=1.00 freq=1
그립잇803,굿즈명,GRIT,정확,1.00,확정,jaccard score=1.00 freq=1
글로시 키링,굿즈명,GKEY,정확,1.00,확정,name2code score=1.00 freq=3
글로시키링,굿즈명,GKEY,정확,1.00,확정,jaccard score=1.00 freq=31
글로시키링(24.09.ver),굿즈명,GKEY,정확,1.00,확정,jaccard_norm score=1.00 freq=30
낫씽설거지비누(110g커스텀),굿즈명,QWER,정확,1.00,확정,jaccard score=1.00 freq=3
낫씽설거지비누(200g커스텀),굿즈명,QWEC,정확,1.00,확정,jaccard score=1.00 freq=2
내추럴 노트,굿즈명,NTRN,정확,1.00,확정,name2code score=1.00 freq=1
내추럴 노트 (벌크),굿즈명,NTRN,정확,1.00,확정,name2code score=1.00 freq=1
내추럴 노트 - 1541 (42박스),굿즈명,NTRN,유사,0.67,미검증,jaccard score=0.67 freq=1
내추럴 노트(표지인쇄 포함),굿즈명,NTRN,정확,1.00,확정,name2code score=1.00 freq=2
내추럴노트,굿즈명,NTRN,정확,1.00,확정,jaccard score=1.00 freq=42
내추럴노트 (박스에 삽입),굿즈명,NTRN,정확,1.00,확정,jaccard_norm score=1.00 freq=1
내추럴노트(씬페이퍼봉투+스티커),굿즈명,NTRN,정확,1.00,확정,jaccard_norm score=1.00 freq=1
노스트레스PD충전기,굿즈명,PUPD,유사,0.50,미검증,jaccard score=0.50 freq=1
노트,굿즈명,NTRN,유사,0.50,미검증,jaccard score=0.50 freq=2
노트1,굿즈명,NTRN,유사,0.50,미검증,jaccard score=0.50 freq=1
노트1),굿즈명,NTRN,유사,0.50,미검증,jaccard score=0.50 freq=1
노트2),굿즈명,NTRN,유사,0.50,미검증,jaccard score=0.50 freq=1
노트3),굿즈명,NTRN,유사,0.50,미검증,jaccard score=0.50 freq=1
노트북 스탠드패드,굿즈명,NSTP,정확,1.00,확정,name2code score=1.00 freq=5
노트북백,굿즈명,BRDD,유사,0.50,미검증,jaccard score=0.50 freq=1
노트북스탠드패드,굿즈명,NSTP,정확,1.00,확정,jaccard score=1.00 freq=60
노트북스탠드패드147,굿즈명,NSTP,정확,1.00,확정,jaccard score=1.00 freq=1
노트패드,굿즈명,CNPD,유사,0.50,미검증,jaccard score=0.50 freq=1
노트패드1),굿즈명,CNPD,유사,0.50,미검증,jaccard score=0.50 freq=1
노트패드5),굿즈명,CNPD,유사,0.50,미검증,jaccard score=0.50 freq=1
눈마사지기,굿즈명,EMSG,유사,0.50,미검증,jaccard score=0.50 freq=1
다이어리,굿즈명,MOLD,유사,0.50,미검증,jaccard score=0.50 freq=7
다이어리 24부,굿즈명,MOLD,유사,0.50,미검증,jaccard score=0.50 freq=1
다이어리 26부,굿즈명,MOLD,유사,0.50,미검증,jaccard score=0.50 freq=1
다이어리),굿즈명,MOLD,유사,0.50,미검증,jaccard score=0.50 freq=1
다이어리1,굿즈명,MOLD,유사,0.50,미검증,jaccard score=0.50 freq=7
다이어리1),굿즈명,MOLD,유사,0.50,미검증,jaccard score=0.50 freq=11
다이어리2,굿즈명,MOLD,유사,0.50,미검증,jaccard score=0.50 freq=2
다이어리2),굿즈명,MOLD,유사,0.50,미검증,jaccard score=0.50 freq=4
다이어리5),굿즈명,MOLD,유사,0.50,미검증,jaccard score=0.50 freq=1
더블업 트래블 파우치,굿즈명,DTPL,정확,1.00,확정,name2code score=1.00 freq=7
더블업 트래블 파우치 키트,굿즈명,DTPK,정확,1.00,확정,jaccard score=1.00 freq=1
데스크테리어 매트,굿즈명,DSKS,정확,1.00,확정,name2code score=1.00 freq=17
데스크테리어매트(기본형),굿즈명,DSKS,정확,1.00,확정,jaccard score=1.00 freq=30
데스크테리어매트(대형),굿즈명,DSKW,정확,1.00,확정,jaccard score=1.00 freq=9
데일리 짐색,굿즈명,DLYG,정확,1.00,확정,name2code score=1.00 freq=26
데일리 짐색 (1)600,굿즈명,DLYG,정확,1.00,미검증,jaccard score=1.00 freq=1 ambiguous-name:DLYG|DLYK
데일리 짐색 (2)600,굿즈명,DLYG,정확,1.00,미검증,jaccard score=1.00 freq=1 ambiguous-name:DLYG|DLYK
데일리 짐색 키트,굿즈명,DLYG,유사,0.67,미검증,jaccard score=0.67 freq=5 ambiguous-name:DLYG|DLYK
데일리 짐색 키트 (포시즌 티셔츠 2XL  ),굿즈명,DLYG,유사,0.40,미검증,jaccard score=0.40 freq=1 ambiguous-name:DLYG|DLYK
데일리 짐색 키트 (포시즌 티셔츠 3XL ),굿즈명,DLYG,유사,0.40,미검증,jaccard score=0.40 freq=1 ambiguous-name:DLYG|DLYK
데일리 짐색 키트 (포시즌 티셔츠 L ),굿즈명,DLYG,유사,0.40,미검증,jaccard score=0.40 freq=1 ambiguous-name:DLYG|DLYK
데일리 짐색 키트 (포시즌 티셔츠 M  ),굿즈명,DLYG,유사,0.40,미검증,jaccard score=0.40 freq=1 ambiguous-name:DLYG|DLYK
데일리 짐색 키트 (포시즌 티셔츠 S ),굿즈명,DLYG,유사,0.40,미검증,jaccard score=0.40 freq=1 ambiguous-name:DLYG|DLYK
데일리 짐색 키트 (포시즌 티셔츠 XL ),굿즈명,DLYG,유사,0.40,미검증,jaccard score=0.40 freq=1 ambiguous-name:DLYG|DLYK
데일리 짐색1),굿즈명,DLYG,정확,1.00,미검증,jaccard score=1.00 freq=1 ambiguous-name:DLYG|DLYK
데일리 짐색2),굿즈명,DLYG,정확,1.00,미검증,jaccard score=1.00 freq=1 ambiguous-name:DLYG|DLYK
데일리머그,굿즈명,DMUG,정확,1.00,확정,jaccard score=1.00 freq=15
데일리머그(블랙),굿즈명,ALBP,유사,0.50,미검증,jaccard score=0.50 freq=1
데일리머그(화이트),굿즈명,DMUG,정확,1.00,확정,jaccard_norm score=1.00 freq=1
데일리짐색,굿즈명,DLYG,정확,1.00,미검증,jaccard score=1.00 freq=45 ambiguous-name:DLYG|DLYK
데일리짐색(+손잡이백),굿즈명,DLYG,정확,1.00,미검증,jaccard_norm score=1.00 freq=1 ambiguous-name:DLYG|DLYK
데일리짐색(1),굿즈명,DLYG,정확,1.00,미검증,jaccard_norm score=1.00 freq=1 ambiguous-name:DLYG|DLYK
데일리짐색(2),굿즈명,DLYG,정확,1.00,미검증,jaccard_norm score=1.00 freq=1 ambiguous-name:DLYG|DLYK
데일리짐색(그레이 슬리브 키트),굿즈명,DLYG,정확,1.00,미검증,jaccard_norm score=1.00 freq=1 ambiguous-name:DLYG|DLYK
데일리짐색(단품),굿즈명,DLYG,정확,1.00,미검증,jaccard_norm score=1.00 freq=185 ambiguous-name:DLYG|DLYK
데일리짐색(벌크),굿즈명,DLYG,정확,1.00,미검증,jaccard_norm score=1.00 freq=3 ambiguous-name:DLYG|DLYK
데일리짐색(블랙 슬리브 키트),굿즈명,DLYG,정확,1.00,미검증,jaccard_norm score=1.00 freq=1 ambiguous-name:DLYG|DLYK
데일리짐색(키트),굿즈명,DLYG,정확,1.00,미검증,jaccard_norm score=1.00 freq=31 ambiguous-name:DLYG|DLYK
데일리짐색(키트)(+남자피규어),굿즈명,DLYG,정확,1.00,미검증,jaccard_norm score=1.00 freq=1 ambiguous-name:DLYG|DLYK
데일리짐색(키트)(+여자피규어),굿즈명,DLYG,정확,1.00,미검증,jaccard_norm score=1.00 freq=1 ambiguous-name:DLYG|DLYK
데코 스티커,굿즈명,DECO,정확,1.00,확정,name2code score=1.00 freq=8
데코 스티커 2종 1장씩,굿즈명,DECO,유사,0.67,미검증,jaccard score=0.67 freq=1
데코무선가습기,굿즈명,DCMS,정확,1.00,확정,jaccard score=1.00 freq=3
데코스티커,굿즈명,DECO,정확,1.00,확정,jaccard score=1.00 freq=103
드레스업 손거울,굿즈명,DRSU,정확,1.00,확정,name2code score=1.00 freq=5
드레스업손거울,굿즈명,DRSU,정확,1.00,확정,jaccard score=1.00 freq=34
디스플레이 피규어 세트,굿즈명,DPFG,정확,1.00,확정,name2code score=1.00 freq=2
디자이너 노트,굿즈명,DSGN,정확,1.00,확정,name2code score=1.00 freq=5
디자이너노트,굿즈명,DSGN,정확,1.00,확정,jaccard score=1.00 freq=71
디테일 드라이버 키트,굿즈명,DTDK,정확,1.00,확정,name2code score=1.00 freq=1
디테일드라이버키트,굿즈명,DTDK,정확,1.00,확정,jaccard score=1.00 freq=6
라미 사파리 펜,굿즈명,LAMY,정확,1.00,확정,name2code score=1.00 freq=2
라미사파리펜,굿즈명,LAMY,정확,1.00,확정,jaccard score=1.00 freq=19
라미사파리펜(30주년),굿즈명,LAMY,정확,1.00,확정,jaccard_norm score=1.00 freq=1
라미사파리펜(stock),굿즈명,LAMY,정확,1.00,확정,jaccard_norm score=1.00 freq=4
라미사파리펜(대원씨아이),굿즈명,LAMY,정확,1.00,확정,jaccard_norm score=1.00 freq=1
라미사파리펜(만년필),굿즈명,LAMY,정확,1.00,확정,jaccard_norm score=1.00 freq=1
라미사파리펜(재고확인필수),굿즈명,LAMY,정확,1.00,확정,jaccard_norm score=1.00 freq=1
라운드밤부칫솔,굿즈명,RBTB,정확,1.00,확정,jaccard score=1.00 freq=3
라운드밤부칫솔(stock),굿즈명,RBTB,정확,1.00,확정,jaccard_norm score=1.00 freq=4
라이트 샤오미 펜,굿즈명,LXMP,정확,1.00,확정,jaccard score=1.00 freq=1
라이트 샤오미펜,굿즈명,LXMP,정확,1.00,확정,name2code score=1.00 freq=9
라이트 샤오미펜100,굿즈명,LXMP,정확,1.00,확정,jaccard score=1.00 freq=1
라이트 캘린더 샘플,굿즈명,LTCL,유사,0.67,미검증,jaccard score=0.67 freq=1
라이트샤오미펜,굿즈명,LXMP,정확,1.00,확정,jaccard score=1.00 freq=54
라이트캘린더,굿즈명,LTCL,정확,1.00,확정,jaccard score=1.00 freq=18
런치박스,굿즈명,RDGL,유사,0.50,미검증,jaccard score=0.50 freq=1
런치박스100,굿즈명,RDGL,유사,0.50,미검증,jaccard score=0.50 freq=1
런치박스2,굿즈명,RDGL,유사,0.50,미검증,jaccard score=0.50 freq=1
레더라벨 캠핑체어,굿즈명,LTLB,정확,1.00,확정,name2code score=1.00 freq=7
레더라벨캠핑체어,굿즈명,LTLB,정확,1.00,확정,jaccard score=1.00 freq=60
레더라벨캠핑체어(세트_본품및파우치)_베이지,굿즈명,LTLB,정확,1.00,확정,jaccard_norm score=1.00 freq=1
레더스킨 다이어리,굿즈명,LSKD,정확,1.00,확정,name2code score=1.00 freq=11
레더스킨 다이어리 (벌크전달)150,굿즈명,LSKF,유사,0.50,미검증,jaccard score=0.50 freq=1
레더스킨 다이어리 블랙,굿즈명,LSKF,유사,0.50,미검증,jaccard score=0.50 freq=1
레더스킨 다이어리100,굿즈명,LSKF,유사,0.67,미검증,jaccard score=0.67 freq=1
레더스킨다이어리(커스텀),굿즈명,LSKF,정확,1.00,확정,jaccard score=1.00 freq=11
레더스킨다이어리(표준),굿즈명,LSKD,정확,1.00,확정,jaccard score=1.00 freq=216
레디고런치박스,굿즈명,RDGL,정확,1.00,확정,jaccard score=1.00 freq=65
레터링유리머그,굿즈명,LTLU,정확,1.00,확정,jaccard score=1.00 freq=24
로고스트랩 파우치,굿즈명,LSPO,정확,1.00,확정,name2code score=1.00 freq=14
로고스트랩 파우치 키트,굿즈명,LSPH,정확,1.00,확정,jaccard score=1.00 freq=2
로고스트랩 파우치(프로)키트,굿즈명,LSPH,유사,0.75,미검증,jaccard score=0.75 freq=1
로고스트랩파우치,굿즈명,LSPO,정확,1.00,확정,jaccard score=1.00 freq=9
로고스트랩파우치 (단품포장),굿즈명,LSPO,정확,1.00,확정,jaccard_norm score=1.00 freq=1
로고스트랩파우치(단품),굿즈명,LSPO,정확,1.00,확정,jaccard_norm score=1.00 freq=108
로고스트랩파우치(키트),굿즈명,LSPH,정확,1.00,확정,jaccard score=1.00 freq=33
로지텍라이트마우스,굿즈명,MSMO,정확,1.00,확정,jaccard score=1.00 freq=1
로지텍페블블루투스마우스,굿즈명,BLTS,정확,1.00,확정,jaccard score=1.00 freq=2
리마커블 칫솔살균기,굿즈명,RMKB,정확,1.00,확정,name2code score=1.00 freq=6
리멤버 타투스티커,굿즈명,TTSK,정확,1.00,확정,name2code score=1.00 freq=3
리멤버 탁상시계,굿즈명,RMBT,정확,1.00,확정,name2code score=1.00 freq=12
리멤버타투스티커,굿즈명,TTSK,정확,1.00,확정,jaccard score=1.00 freq=31
리멤버탁상시계,굿즈명,RMBT,정확,1.00,확정,jaccard score=1.00 freq=57
리유저블캘린더,굿즈명,RUCD,정확,1.00,확정,jaccard score=1.00 freq=66
리틀빅 리유저블컵,굿즈명,LTBR,정확,1.00,확정,name2code score=1.00 freq=1
리프레쉬고체치약,굿즈명,TUTH,정확,1.00,확정,jaccard score=1.00 freq=14
린넨메쉬파우치,굿즈명,LNMS,정확,1.00,확정,jaccard score=1.00 freq=1
린넨샤쉐,굿즈명,LSCH,유사,0.50,미검증,jaccard score=0.50 freq=1
릴리프 눈마사지기,굿즈명,EMSG,정확,1.00,확정,name2code score=1.00 freq=1
릴리프 눈마사지기1),굿즈명,EMSG,정확,1.00,확정,jaccard score=1.00 freq=1
릴리프눈마사지기,굿즈명,EMSG,정확,1.00,확정,jaccard score=1.00 freq=28
마그넷 배터리,굿즈명,KSMB,유사,0.67,미검증,jaccard score=0.67 freq=1 ambiguous-name:KSMB|MGNB
마그넷 오프너,굿즈명,MOPN,정확,1.00,확정,name2code score=1.00 freq=5
마그넷1,굿즈명,MOPN,유사,0.50,미검증,jaccard score=0.50 freq=1
마그넷3,굿즈명,MOPN,유사,0.50,미검증,jaccard score=0.50 freq=1
마그넷오프너,굿즈명,MOPN,정확,1.00,확정,jaccard score=1.00 freq=72
매트블랙 텀블러,굿즈명,MTTB,정확,1.00,확정,name2code score=1.00 freq=12
매트블랙텀블러,굿즈명,MTTB,정확,1.00,확정,jaccard score=1.00 freq=157
머그1),굿즈명,MMUG,유사,0.50,미검증,jaccard score=0.50 freq=1
머그2,굿즈명,MMUG,유사,0.50,미검증,jaccard score=0.50 freq=2
머그2),굿즈명,MMUG,유사,0.50,미검증,jaccard score=0.50 freq=1
메모패드1),굿즈명,PMPC,유사,0.50,미검증,jaccard score=0.50 freq=1 ambiguous-name:PMPB|PMPC
메모패드2),굿즈명,PMPC,유사,0.50,미검증,jaccard score=0.50 freq=1 ambiguous-name:PMPB|PMPC
메모패드250,굿즈명,PMPC,유사,0.50,미검증,jaccard score=0.50 freq=1 ambiguous-name:PMPB|PMPC
메세지 스트랩,굿즈명,MSST,정확,1.00,확정,name2code score=1.00 freq=1
메세지 캐리어 파우치,굿즈명,MSGA,유사,0.75,미검증,jaccard score=0.75 freq=1
메세지스트랩,굿즈명,MSST,정확,1.00,확정,jaccard score=1.00 freq=8
메세지스트랩(337개입),굿즈명,MSST,정확,1.00,확정,jaccard_norm score=1.00 freq=1
메시지 캐리어 파우치,굿즈명,MSGC,정확,1.00,확정,name2code score=1.00 freq=19
메시지 캐리어 파우치(실버),굿즈명,MSGC,정확,1.00,확정,name2code score=1.00 freq=1
메시지캐리어파우치,굿즈명,MSGC,정확,1.00,확정,jaccard score=1.00 freq=249
메시지캐리어파우치 (1)50,굿즈명,MSGC,정확,1.00,확정,jaccard score=1.00 freq=2
메시지캐리어파우치 (2)50,굿즈명,MSGC,정확,1.00,확정,jaccard score=1.00 freq=2
메시지캐리어파우치 (기존 로고),굿즈명,MSGC,정확,1.00,확정,jaccard_norm score=1.00 freq=1
메시지캐리어파우치 (변경로고)150,굿즈명,MSGC,유사,0.50,미검증,jaccard score=0.50 freq=1
메시지캐리어파우치 (신규 로고),굿즈명,MSGC,정확,1.00,확정,jaccard_norm score=1.00 freq=1
메시지캐리어파우치 + 펠트스트링파우치,굿즈명,MSGC,유사,0.50,미검증,jaccard score=0.50 freq=1
메시지캐리어파우치 200+잔여분1,굿즈명,MSGC,유사,0.50,미검증,jaccard score=0.50 freq=1
메시지캐리어파우치 OPP,굿즈명,MSGC,유사,0.50,미검증,jaccard score=0.50 freq=1
메시지캐리어파우치 키트,굿즈명,MSGC,유사,0.50,미검증,jaccard score=0.50 freq=5
메시지캐리어파우치(2024ver),굿즈명,MSGC,유사,0.50,미검증,jaccard score=0.50 freq=5
메시지캐리어파우치(메탈그레이),굿즈명,MSGC,유사,0.50,미검증,jaccard score=0.50 freq=1
메시지캐리어파우치(메탈그레이) + 펠트스트링파우치,굿즈명,MSGC,유사,0.50,미검증,jaccard_norm score=0.50 freq=1
메시지캐리어파우치(블랙),굿즈명,ALBP,유사,0.50,미검증,jaccard score=0.50 freq=1
메시지캐리어파우치(블랙or실버),굿즈명,MSGC,정확,1.00,확정,jaccard_norm score=1.00 freq=7
메시지캐리어파우치(블랙그레이),굿즈명,MSGC,유사,0.50,미검증,jaccard score=0.50 freq=7
메시지캐리어파우치(실버),굿즈명,MSGC,유사,0.50,미검증,jaccard score=0.50 freq=2
메시지캐리어파우치(키트),굿즈명,MSGC,유사,0.50,미검증,jaccard score=0.50 freq=1
메시지캐리어파우치+인쇄,굿즈명,MSGC,유사,0.50,미검증,jaccard score=0.50 freq=5
메시지캐리어파우치+인쇄 (1)1,굿즈명,MSGC,유사,0.50,미검증,jaccard score=0.50 freq=1
메시지캐리어파우치+인쇄 (2)1,굿즈명,MSGC,유사,0.50,미검증,jaccard score=0.50 freq=1
메시지캐리어파우치1,굿즈명,MSGC,정확,1.00,확정,jaccard score=1.00 freq=2
메시지캐리어파우치1),굿즈명,MSGC,정확,1.00,확정,jaccard score=1.00 freq=2
메시지캐리어파우치150,굿즈명,MSGC,정확,1.00,확정,jaccard score=1.00 freq=1
메시지캐리어파우치330,굿즈명,MSGC,정확,1.00,확정,jaccard score=1.00 freq=1
메시지캐리어파우치4,굿즈명,MSGC,정확,1.00,확정,jaccard score=1.00 freq=1
모뉴먼트 블랙 트로피,굿즈명,MNBT,정확,1.00,확정,name2code score=1.00 freq=2
모먼트 골드스파클,굿즈명,MGOL,정확,1.00,확정,name2code score=1.00 freq=3
모먼트 일회용 카메라,굿즈명,FCAM,정확,1.00,확정,name2code score=1.00 freq=2
모먼트일회용카메라,굿즈명,FCAM,정확,1.00,확정,jaccard score=1.00 freq=22
모바일 오피스 파우치 2.0,굿즈명,MOSL,정확,1.00,확정,name2code score=1.00 freq=6
모바일오피스파우치,굿즈명,MOFP,정확,1.00,확정,jaccard score=1.00 freq=38
모바일오피스파우치 +미니어처 NFC 키링,굿즈명,MNFC,유사,0.75,미검증,jaccard score=0.75 freq=1
모바일오피스파우치(stock),굿즈명,MOFP,정확,1.00,확정,jaccard_norm score=1.00 freq=10
모바일오피스파우치2.0,굿즈명,MOSL,정확,1.00,확정,jaccard score=1.00 freq=1
모이스트듀얼가습기,굿즈명,MODU,정확,1.00,확정,jaccard score=1.00 freq=2
